engine_id,pred_RUL,true_RUL,err,abs_err,sq_err
65,193.70674,115,78.70674133300781,78.70674133300781,6194.751131261
74,191.84648,117,74.84648132324219,74.84648132324219,5601.995766470442
97,193.55067,123,70.55067443847656,70.55067443847656,4977.39766372391
49,200.29416,135,65.29415893554688,65.29415893554688,4263.327191100456
19,144.24013,85,59.24012756347656,59.24012756347656,3509.3927137369756
61,183.29181,129,54.29180908203125,54.29180908203125,2947.600533399731
15,157.11864,108,49.11863708496094,49.11863708496094,2412.6405090841
41,179.53958,131,48.539581298828125,48.539581298828125,2356.090952665545
80,180.50081,133,47.50080871582031,47.50080871582031,2256.326828656951
54,132.9331,87,45.93310546875,45.93310546875,2109.850178003311
