feature,mean,std
setting1,-2.374190938511327e-05,0.0021935445845264385
s2,642.4578580097087,0.5230311380083125
s3,1588.0791751618121,6.810418054769426
s4,1404.4712123786408,9.773178327387521
s6,21.595841019417477,0.018116000048510272
s7,555.1438078478965,3.4373428742748646
s8,2388.0715546116508,0.1582849283520036
s9,9064.110809061489,19.980294309113177
s10,1.3012317961165052,0.0034848490401647348
s11,47.415706715210355,0.30007416142325294
s12,523.0508725728155,3.2553139774429254
s13,2388.0716432038835,0.15812066988897275
s14,8144.202916262136,16.504117682690822
s15,8.396175784789644,0.06051161367848584
s17,392.5665453074434,1.7614585070963218
s20,38.98855177993528,0.2488646946032721
s21,23.393024037216826,0.1492337880155161
