engine_id,pred_RUL,true_RUL,err,abs_err,sq_err
54,147.61137,87,60.61137390136719,60.61137390136719,3673.7386462113354
27,145.48021,88,57.48020935058594,57.48020935058594,3303.974466987187
15,147.8577,108,39.857696533203125,39.857696533203125,1588.6359729329124
34,104.842834,65,39.84283447265625,39.84283447265625,1587.4514588154852
83,108.53635,145,-36.463653564453125,36.463653564453125,1329.598031268455
69,135.14955,100,35.14955139160156,35.14955139160156,1235.4909630308393
85,90.057816,56,34.05781555175781,34.05781555175781,1159.9348001575563
45,144.93129,111,33.93128967285156,33.93128967285156,1151.332418862963
65,146.4793,115,31.479293823242188,31.479293823242188,990.9459396100137
18,100.61501,132,-31.384986877441406,31.384986877441406,985.0174012971693
